id,answer,source,source_url
14,"2025년 노벨 물리학상은 존 클라크(John Clarke), 미셸 H. 드보레(Michel H.Devoret) , 존 마르티니스(John M.Martinis)가 공동 수상했다.",NobelPrize.org - Physics 2025,https://www.nobelprize.org/prizes/physics/2025/summary/
15,2024 파리 올림픽 개막일은 2024년 7월 26일이다.,Wikipedia - 2024 Olympics,https://en.wikipedia.org/wiki/2024_Summer_Olympics_opening_ceremony
16,‘KPop Demon Hunters’의 감독은 매기 강(Maggie Kang)과 크리스 아펠한스(Chris Appelhans)이다.,Wikipedia - KPop Demon Hunters,https://en.wikipedia.org/wiki/KPop_Demon_Hunters
17,"월급은 1,203,600원이며 3.3% 공제 후 실수령액은 약 1,163,881원이다.",직접 계산,
18,"A앱 5,100원, B앱 5,000원으로 B앱이 더 저렴하다.",직접 계산,
19,"총 15잔 기준 카페 B가 더 많은 무료 혜택을 제공하므로 더 이득이다. (A: 13잔 구매 필요, B: 12잔 구매 필요)",직접 계산,
20,"1년 기준 60편 시청, 1편당 비용은 약 3,400원이다.",직접 계산,
21,"항목,MacBook Air M2,Galaxy Book4 Ultra
성능,Apple M2 칩으로 일반 작업·편집에 빠르고 안정적,Intel 고성능 CPU+NVIDIA RTX로 게임·AI·3D 작업에 유리
호환성,macOS 기반으로 대부분 앱 사용 가능하나 윈도우 전용 프로그램 일부 제약,Windows 11 기반으로 학교·정부·전공 SW 등 호환성 가장 넓음
사용성,가볍고 조용하며 배터리 오래가고 애플 생태계 연동 강점,다양한 포트·큰 화면·고성능 활용 가능하나 발열·소음 발생 가능",,"https://www.samsung.com/us/computing/galaxy-books/galaxy-book4-ultra/?utm_source=chatgpt.com, 
https://support.apple.com/en-us/111867?utm_source=chatgpt.com"
22,"대방역→한양대 이동,버스 이용: 대방역 인근 정류장에서 641번을 타고 문래역에서 2호선 환승->한양대역 하차 ( 환승 필요, 1시간 6분 소요),지하철 이용: 1호선 대방역 승차→시청역에서 2호선 환승→한양대역 하차 (환승 필요, 50분 소요) , 지하철이 더 효율적임",네이버지도_길찾기,"https://map.naver.com/p/directions/14129384.8544953,4510912.0795128,%EB%8C%80%EB%B0%A9%EC%97%AD%201%ED%98%B8%EC%84%A0,137,SUBWAY_STATION/14142772.8266389,4517113.1973574,%ED%95%9C%EC%96%91%EB%8C%80%ED%95%99%EA%B5%90%20%EC%84%9C%EC%9A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4,11591678,PLACE_POI/-/transit?c=10.00,0,0,0,dh"
23,"발전방식,장점,단점
태양광발전,""청정·무제한 에너지원; 필요장소에 설치 가능; 유지보수 용이·무인화 가능; 수명 길다"",""일사량 의존; 에너지밀도 낮음·설치면적 커짐; 설치장소 한정·시스템 비용 높음; 초기투자비·발전단가 높음""
풍력발전,""연료비 거의 없음·청정에너지; 바람 있을 때 밤·낮 가리지 않고 발전 가능; 기술 검증됨·설치규모 커지면 출력 확보 가능"",""발전량 변동성 큼·바람조건 의존; 적합한 장소 한정·부지확보 어려움; 소음·진동·경관문제·주민 민원 가능""",경기환경에너지진흥원 ,https://www.ggenergy.or.kr/energy/content/story/story02_01_02?utm_source=chatgpt.com
24,"정규화는 데이터를 일정 범위로 스케일링, 표준화는 평균 0·표준편차 1로 변환한다.",scikit-learn Preprocessing,https://scikit-learn.org/stable/modules/preprocessing.html
25,"‘인간이 뇌의 10%만 사용한다’는 주장은 과학적 근거가 없는 신화이며, 뇌영상 연구에 따르면 인간은 대부분의 뇌 영역을 사용한다.	",Scientific American - Do People Only Use 10 Percent of Their Brains?,https://www.scientificamerican.com/article/do-we-really-use-only-10/
26,소는 빨간색을 구분하지 못하며 움직임에 반응한다. 빨간색 때문에 흥분하는 것이 아니다.,LiveScience,https://www.livescience.com/33700-bulls-charge-red.html
27,"비타민 C는 일반인의 감기를 예방하는 효과는 거의 없으나, 감기 증상 기간을 약간 줄일 수 있다는 연구 결과가 있다.",Cochrane Collaboration 웹사이트,https://www.cochrane.org/ko/evidence/CD000980_vitamin-c-preventing-and-treating-common-cold
28,"현재까지의 연구 결과, 설탕 섭취와 아이들의 과잉행동(hyperactivity) 사이에는 명확한 과학적 인과관계가 없다.",미국 국립보건원 NIH 산하 ,https://medlineplus.gov/ency/article/002426.htm
